occupation,soc_code,emp_2024,emp_2034,emp_change_num,emp_change_pct,median_wage_2024,education_required,annual_openings,automation_prob,occupation_fo,risk_tier,soc_major,occupation_group,education_level,wage_norm,edu_norm,adaptive_capacity_score,vulnerable,growth_direction,cluster,cluster_label,pca_1,pca_2
"        Electronics engineers, except computer",17-2072,95.9,101.8,6.0,6.2,127590.0,Bachelor's degree,5.7,0.025,"Electronics engineers, except computer",Low,17,Architecture & Engineering,4.0,0.4959784158012624,0.6666666666666666,0.5813225412339645,False,Growing,1.0,Low Risk / High Skill,3.213101527317051,0.31934171970392566
      Environmental engineers,17-2081,39.4,41.0,1.5,3.9,104170.0,Bachelor's degree,3.0,0.018,Environmental engineers,Low,17,Architecture & Engineering,4.0,0.3767562614538791,0.6666666666666666,0.5217114640602729,False,Growing,1.0,Low Risk / High Skill,2.6715350207064916,-0.1835915786900148
"        Health and safety engineers, except mining safety engineers and inspectors",17-2111,23.8,24.9,1.1,4.4,109660.0,Bachelor's degree,1.5,0.028,"Health and safety engineers, except mining safety engineers and inspectors",Low,17,Architecture & Engineering,4.0,0.40470372632865,0.6666666666666666,0.5356851964976583,False,Growing,1.0,Low Risk / High Skill,2.7884780465484984,-0.04709693918119401
        Industrial engineers,17-2112,351.1,389.6,38.5,11.0,101140.0,Bachelor's degree,25.2,0.029,Industrial engineers,Low,17,Architecture & Engineering,4.0,0.3613317043372022,0.6666666666666666,0.5139991855019344,False,Growing,1.0,Low Risk / High Skill,2.587214427209097,-0.2221685848559343
      Marine engineers and naval architects,17-2121,8.5,9.0,0.5,5.8,105670.0,Bachelor's degree,0.6,0.01,Marine engineers and naval architects,Low,17,Architecture & Engineering,4.0,0.3843921808185706,0.6666666666666666,0.5255294237426187,False,Growing,1.0,Low Risk / High Skill,2.716336325688842,-0.170177876038149
      Materials engineers,17-2131,23.0,24.3,1.3,5.7,108310.0,Bachelor's degree,1.5,0.021,Materials engineers,Low,17,Architecture & Engineering,4.0,0.3978313989004276,0.6666666666666666,0.5322490327835472,False,Growing,1.0,Low Risk / High Skill,2.765158462074216,-0.09076517092638885
      Mechanical engineers,17-2141,293.1,319.6,26.5,9.1,102320.0,Bachelor's degree,18.1,0.011,Mechanical engineers,Low,17,Architecture & Engineering,4.0,0.3673386275707595,0.6666666666666666,0.517002647118713,False,Growing,1.0,Low Risk / High Skill,2.636474454761065,-0.23766454687944957
"      Mining and geological engineers, including mining safety engineers",17-2151,7.0,7.0,0.0,0.7,101020.0,Bachelor's degree,0.4,0.14,"Mining and geological engineers, including mining safety engineers",Low,17,Architecture & Engineering,4.0,0.3607208307880268,0.6666666666666666,0.5136937487273467,False,Growing,1.0,Low Risk / High Skill,2.451496838762262,0.022316308594294686
      Nuclear engineers,17-2161,15.4,15.3,-0.2,-1.1,127520.0,Bachelor's degree,0.8,0.07,Nuclear engineers,Low,17,Architecture & Engineering,4.0,0.4956220728975768,0.6666666666666666,0.5811443697821217,False,Declining,1.0,Low Risk / High Skill,3.1575795117109173,0.4180129066815348
      Petroleum engineers,17-2171,19.6,19.8,0.2,1.3,141280.0,Bachelor's degree,1.2,0.16,Petroleum engineers,Low,17,Architecture & Engineering,4.0,0.565668906536347,0.6666666666666666,0.6161677866015068,False,Growing,1.0,Low Risk / High Skill,3.372934765396442,0.9046069537866214
"      Engineers, all other",17-2199,158.8,162.1,3.3,2.1,117750.0,Bachelor's degree,9.3,0.014,"Engineers, all other",Low,17,Architecture & Engineering,4.0,0.4458867847688862,0.6666666666666666,0.5562767257177764,False,Growing,1.0,Low Risk / High Skill,2.9952092577472103,0.0901008097951123
        Architectural and civil drafters,17-3011,110.5,115.1,4.6,4.1,64280.0,Associate's degree,10.0,0.52,Architectural and civil drafters,Medium,17,Architecture & Engineering,3.0,0.1736917124821828,0.5,0.3368458562410914,False,Growing,2.0,Low Risk / Stable,0.5922690270329355,0.02071417083718319
        Electrical and electronics drafters,17-3012,21.6,20.4,-1.2,-5.6,73720.0,Associate's degree,1.7,0.81,Electrical and electronics drafters,High,17,Architecture & Engineering,3.0,0.2217470983506414,0.5,0.3608735491753207,False,Declining,2.0,Low Risk / Stable,0.4667231865847883,0.8624239620853825
        Mechanical drafters,17-3013,42.9,40.1,-2.8,-6.5,68510.0,Associate's degree,3.3,0.68,Mechanical drafters,Medium,17,Architecture & Engineering,3.0,0.1952250050906128,0.5,0.3476125025453064,False,Declining,2.0,Low Risk / Stable,0.5000305189004164,0.46474837477252845
        Aerospace engineering and operations technologists and technicians,17-3021,9.3,10.1,0.8,8.1,79830.0,Associate's degree,0.9,0.48,Aerospace engineering and operations technicians,Medium,17,Architecture & Engineering,3.0,0.2528507432294848,0.5,0.3764253716147424,False,Growing,2.0,Low Risk / Stable,1.0053053536300982,0.2552989408487729
        Civil engineering technologists and technicians,17-3022,64.9,66.2,1.4,2.1,64200.0,Associate's degree,5.5,0.75,Civil engineering technicians,High,17,Architecture & Engineering,3.0,0.1732844634493993,0.5,0.3366422317246996,False,Growing,2.0,Low Risk / Stable,0.31501260364111244,0.5308139800806522
        Electrical and electronic engineering technologists and technicians,17-3023,93.7,94.3,0.6,0.6,77180.0,Associate's degree,8.4,0.84,Electrical and electronics engineering technicians,High,17,Architecture & Engineering,3.0,0.2393606190185298,0.5,0.3696803095092649,False,Growing,2.0,Low Risk / Stable,0.5120519262316529,1.0011766383327236
        Electro-mechanical and mechatronics technologists and technicians,17-3024,15.0,15.1,0.2,1.1,70760.0,Associate's degree,1.3,0.81,Electro-mechanical technicians,High,17,Architecture & Engineering,3.0,0.2066788841376501,0.5,0.353339442068825,False,Growing,2.0,Low Risk / Stable,0.397216576275618,0.8008279223354824
        Environmental engineering technologists and technicians,17-3025,12.9,13.0,0.1,1.2,58890.0,Associate's degree,1.1,0.25,Environmental engineering technicians,Low,17,Architecture & Engineering,3.0,0.1462533088983913,0.5,0.3231266544491957,False,Growing,2.0,Low Risk / Stable,0.7889709159750466,-0.6922159885105386
        Industrial engineering technologists and technicians,17-3026,74.6,75.9,1.3,1.7,64790.0,Associate's degree,6.3,0.03,Industrial engineering technicians,Low,17,Architecture & Engineering,3.0,0.176287925066178,0.5,0.338143962533089,False,Growing,2.0,Low Risk / Stable,1.1909194129798315,-1.0589540321919884
        Mechanical engineering technologists and technicians,17-3027,38.3,38.3,0.0,0.0,68730.0,Associate's degree,3.2,0.38,Mechanical engineering technicians,Medium,17,Architecture & Engineering,3.0,0.1963449399307676,0.5,0.3481724699653838,False,Stable,2.0,Low Risk / Stable,0.8643850720822072,-0.19819254172402423
"        Engineering technologists and technicians, except drafters, all other",17-3029,67.3,68.3,1.0,1.5,77390.0,Associate's degree,5.7,0.24,"Engineering technicians, except drafters, all other",Low,17,Architecture & Engineering,3.0,0.2404296477295866,0.5,0.3702148238647933,False,Growing,2.0,Low Risk / Stable,1.2353601811185078,-0.329491373424732
      Surveying and mapping technicians,17-3031,59.4,62.1,2.7,4.5,51940.0,High school diploma or equivalent,7.6,0.96,Surveying and mapping technicians,High,17,Architecture & Engineering,1.0,0.1108735491753206,0.1666666666666666,0.1387701079209936,False,Growing,3.0,High Risk / Low Resilience,-1.3073649593774979,0.5777808004904535
        Animal scientists,19-1011,2.8,2.9,0.2,5.8,79120.0,Bachelor's degree,0.2,0.061,Animal scientists,Low,19,Life & Social Science,4.0,0.2492364080635308,0.6666666666666666,0.4579515373650987,False,Growing,2.0,Low Risk / Stable,2.031828160944256,-0.6091911511368414
        Food scientists and technologists,19-1012,15.2,16.2,1.0,6.5,85310.0,Bachelor's degree,1.2,0.077,Food scientists and technologists,Low,19,Life & Social Science,4.0,0.2807473019751578,0.6666666666666666,0.4737069843209122,False,Growing,2.0,Low Risk / Stable,2.158024790419174,-0.44477950059544447
        Soil and plant scientists,19-1013,20.7,21.8,1.1,5.4,71410.0,Bachelor's degree,1.7,0.021,Soil and plant scientists,Low,19,Life & Social Science,4.0,0.2099877825290164,0.6666666666666666,0.4383272245978415,False,Growing,2.0,Low Risk / Stable,1.8986740295038205,-0.858634720511289
        Biochemists and biophysicists,19-1021,35.6,37.6,2.1,5.8,103650.0,Doctoral or professional degree,2.9,0.027,Biochemists and biophysicists,Low,19,Life & Social Science,6.0,0.374109142740786,1.0,0.687054571370393,False,Growing,1.0,Low Risk / High Skill,3.7316054767484967,-0.009214592226213476
        Microbiologists,19-1022,20.7,21.6,0.8,4.1,87330.0,Bachelor's degree,1.7,0.012,Microbiologists,Low,19,Life & Social Science,4.0,0.2910303400529423,0.6666666666666666,0.4788485033598045,False,Growing,2.0,Low Risk / Stable,2.2832825351850663,-0.5473734821426529
        Zoologists and wildlife biologists,19-1023,18.2,18.5,0.3,1.6,72860.0,Bachelor's degree,1.4,0.3,Zoologists and wildlife biologists,Medium,19,Life & Social Science,4.0,0.2173691712482182,0.6666666666666666,0.4420179189574424,False,Growing,2.0,Low Risk / Stable,1.5986775509290636,-0.20766831432821642
"        Biological scientists, all other",19-1029,63.7,64.5,0.8,1.2,93330.0,Bachelor's degree,4.8,0.015,"Biological scientists, all other",Low,19,Life & Social Science,4.0,0.3215740175117084,0.6666666666666666,0.4941203420891875,False,Growing,2.0,Low Risk / Stable,2.420582427625444,-0.41584145480645474
        Conservation scientists,19-1031,28.5,29.5,1.0,3.4,67950.0,Bachelor's degree,2.5,0.016,Conservation scientists,Low,19,Life & Social Science,4.0,0.192374261861128,0.6666666666666666,0.4295204642638973,False,Growing,2.0,Low Risk / Stable,1.823412913079082,-0.9417608133809621
        Foresters,19-1032,13.8,14.0,0.2,1.2,70660.0,Bachelor's degree,1.1,0.0081,Foresters,Low,19,Life & Social Science,4.0,0.2061698228466707,0.6666666666666666,0.4364182447566687,False,Growing,2.0,Low Risk / Stable,1.8965076637144882,-0.9029451422005252
        Epidemiologists,19-1041,12.3,14.3,2.0,16.2,83980.0,Master's degree,0.8,0.2,Epidemiologists,Low,19,Life & Social Science,5.0,0.2739767868051314,0.8333333333333333,0.5536550600692323,False,Growing,2.0,Low Risk / Stable,2.5210548521648066,-0.11618713814406971
"        Medical scientists, except epidemiologists",19-1042,165.3,179.6,14.3,8.7,100590.0,Doctoral or professional degree,9.6,0.0045,"Medical scientists, except epidemiologists",Low,19,Life & Social Science,6.0,0.3585318672368153,1.0,0.6792659336184077,False,Growing,1.0,Low Risk / High Skill,3.686689809245185,-0.12295550430486278
        Astronomers,19-2011,1.8,1.8,0.0,2.2,132170.0,Doctoral or professional degree,0.1,0.041,Astronomers,Low,19,Life & Social Science,6.0,0.5192934229281205,1.0,0.7596467114640603,False,Growing,1.0,Low Risk / High Skill,4.384548928866915,0.6154224612447206
        Physicists,19-2012,24.6,25.6,1.0,4.0,166290.0,Doctoral or professional degree,1.7,0.1,Physicists,Low,19,Life & Social Science,6.0,0.6929851354103034,1.0,0.8464925677051517,False,Growing,1.0,Low Risk / High Skill,5.115113095261968,1.4567204129709435
      Atmospheric and space scientists,19-2021,9.4,9.5,0.1,0.7,97450.0,Bachelor's degree,0.7,0.67,Atmospheric and space scientists,Medium,19,Life & Social Science,4.0,0.342547342700061,0.6666666666666666,0.5046070046833638,False,Growing,2.0,Low Risk / Stable,1.733099843367369,1.1273100579889879
        Chemists,19-2031,86.8,91.0,4.3,4.9,84150.0,Bachelor's degree,6.3,0.1,Chemists,Low,19,Life & Social Science,4.0,0.2748421909997963,0.6666666666666666,0.4707544288332315,False,Growing,2.0,Low Risk / Stable,2.103247926770477,-0.41774203243862645
        Materials scientists,19-2032,8.7,9.1,0.4,4.9,104160.0,Bachelor's degree,0.6,0.021,Materials scientists,Low,19,Life & Social Science,4.0,0.3767053553247811,0.6666666666666666,0.5216860109957239,False,Growing,1.0,Low Risk / High Skill,2.667708315863724,-0.17712448341357956
"        Environmental scientists and specialists, including health",19-2041,90.3,94.3,4.0,4.4,80060.0,Bachelor's degree,8.5,0.033,"Environmental scientists and specialists, including health",Low,19,Life & Social Science,4.0,0.2540215841987375,0.6666666666666666,0.4603441254327021,False,Growing,2.0,Low Risk / Stable,2.087425468101225,-0.6519320200046589
"        Geoscientists, except hydrologists and geographers",19-2042,25.1,26.0,0.8,3.2,99240.0,Bachelor's degree,2.0,0.63,"Geoscientists, except hydrologists and geographers",Medium,19,Life & Social Science,4.0,0.351659539808593,0.6666666666666666,0.5091631032376298,False,Growing,2.0,Low Risk / Stable,1.823024359878662,1.0755564810550977
        Hydrologists,19-2043,6.3,6.3,0.0,-0.1,92060.0,Bachelor's degree,0.5,0.014,Hydrologists,Low,19,Life & Social Science,4.0,0.3151089391162696,0.6666666666666666,0.4908878028914681,False,Declining,2.0,Low Risk / Stable,2.3919576297598546,-0.44449454870993055
"      Physical scientists, all other",19-2099,31.9,32.1,0.2,0.6,117960.0,Bachelor's degree,2.0,0.43,"Physical scientists, all other",Medium,19,Life & Social Science,4.0,0.4469558134799429,0.6666666666666666,0.5568112400733047,False,Growing,1.0,Low Risk / High Skill,2.5020657203812675,1.020097146506091
      Economists,19-3011,17.6,17.8,0.2,1.2,115440.0,Master's degree,0.9,0.43,Economists,Medium,19,Life & Social Science,5.0,0.4341274689472613,0.8333333333333333,0.6337304011402973,False,Growing,1.0,Low Risk / High Skill,2.984419539972719,1.0502434460020478
      Survey researchers,19-3022,8.8,8.3,-0.5,-5.2,63380.0,Master's degree,0.7,0.23,Survey researchers,Low,19,Life & Social Science,5.0,0.1691101608633679,0.8333333333333333,0.5012217470983507,False,Declining,2.0,Low Risk / Stable,2.0014075634202437,-0.47811037959354935
        Industrial-organizational psychologists,19-3032,5.6,5.9,0.3,6.3,109840.0,Master's degree,0.4,0.012,Industrial-organizational psychologists,Low,19,Life & Social Science,5.0,0.405620036652413,0.8333333333333333,0.6194766849928731,False,Growing,1.0,Low Risk / High Skill,3.3533898872219634,0.00363392375194976
"        Psychologists, all other",19-3039,55.3,57.7,2.4,4.3,117580.0,Master's degree,3.9,0.0043,"Psychologists, all other",Low,19,Life & Social Science,5.0,0.4450213805742211,0.8333333333333333,0.6391773569537772,False,Growing,1.0,Low Risk / High Skill,3.5443594524428503,0.1475662562284601
      Sociologists,19-3041,3.4,3.6,0.1,3.6,101690.0,Master's degree,0.3,0.059,Sociologists,Low,19,Life & Social Science,5.0,0.3641315414375891,0.8333333333333333,0.5987324373854612,False,Growing,1.0,Low Risk / High Skill,3.1057390208999207,-0.06138530353914351
      Urban and regional planners,19-3051,44.7,46.2,1.5,3.4,83720.0,Master's degree,3.4,0.13,Urban and regional planners,Low,19,Life & Social Science,5.0,0.2726532274485848,0.8333333333333333,0.552993280390959,False,Growing,2.0,Low Risk / Stable,2.598760196777859,-0.2773520345525456
        Anthropologists and archeologists,19-3091,8.8,9.2,0.3,3.7,64910.0,Master's degree,0.8,0.0077,Anthropologists and archeologists,Low,19,Life & Social Science,5.0,0.1768987986153532,0.8333333333333333,0.5051160659743432,False,Growing,2.0,Low Risk / Stable,2.3034936610307977,-0.9409034654684009
        Geographers,19-3092,1.5,1.5,0.0,-3.1,97200.0,Bachelor's degree,0.1,0.25,Geographers,Low,19,Life & Social Science,4.0,0.3412746894726125,0.6666666666666666,0.5039706780696396,False,Declining,2.0,Low Risk / Stable,2.2300932825000803,0.18758108902204282
        Historians,19-3093,3.4,3.5,0.1,2.2,74050.0,Master's degree,0.3,0.44,Historians,Medium,19,Life & Social Science,5.0,0.2234270006108735,0.8333333333333333,0.5283801669721034,False,Growing,2.0,Low Risk / Stable,2.000528143080306,0.2111899964989416
        Political scientists,19-3094,6.5,6.3,-0.2,-3.1,139380.0,Master's degree,0.5,0.039,Political scientists,Low,19,Life & Social Science,5.0,0.5559967420077377,0.8333333333333333,0.6946650376705354,False,Declining,1.0,Low Risk / High Skill,4.0147201056170205,0.6784224629255203
"        Social scientists and related workers, all other",19-3099,40.8,40.1,-0.7,-1.7,100340.0,Bachelor's degree,3.2,0.04,"Social scientists and related workers, all other",Low,19,Life & Social Science,4.0,0.3572592140093668,0.6666666666666666,0.5119629403380167,False,Declining,1.0,Low Risk / High Skill,2.555258611073003,-0.2143404664805437
      Biological technicians,19-4021,82.7,85.6,2.9,3.5,52000.0,Bachelor's degree,9.1,0.3,Biological technicians,Medium,19,Life & Social Science,4.0,0.1111789859499083,0.6666666666666666,0.3889228263082875,False,Growing,2.0,Low Risk / Stable,1.108843803952955,-0.6417539187819021
      Chemical technicians,19-4031,57.0,59.0,2.1,3.7,57790.0,Associate's degree,6.7,0.57,Chemical technicians,Medium,19,Life & Social Science,3.0,0.1406536346976175,0.5,0.3203268173488088,False,Growing,2.0,Low Risk / Stable,0.38000633398174444,-0.003086141453713742
      Nuclear technicians,19-4051,6.0,5.5,-0.5,-7.7,104240.0,Associate's degree,0.7,0.85,Nuclear technicians,High,19,Life & Social Science,3.0,0.3771126043575646,0.5,0.4385563021787823,False,Declining,2.0,Low Risk / Stable,1.135500892738792,1.5865316080460505
      Social science research assistants,19-4061,40.6,42.3,1.8,4.4,58040.0,Bachelor's degree,5.2,0.65,Social science research assistants,Medium,19,Life & Social Science,4.0,0.1419262879250662,0.6666666666666666,0.4042964772958664,False,Growing,2.0,Low Risk / Stable,0.831621585234134,0.26270746475187007
        Forensic science technicians,19-4092,20.7,23.3,2.6,12.8,67440.0,Bachelor's degree,2.9,0.0095,Forensic science technicians,Low,19,Life & Social Science,4.0,0.1897780492771329,0.6666666666666666,0.4282223579718998,False,Growing,2.0,Low Risk / Stable,1.819219529940763,-0.9668365562322805
"        Life, physical, and social science technicians, all other",19-4099,83.2,86.2,2.9,3.5,60130.0,Associate's degree,10.6,0.61,"Life, physical, and social science technicians, all other",Medium,19,Life & Social Science,3.0,0.1525656689065363,0.5,0.3262828344532681,False,Growing,2.0,Low Risk / Stable,0.38706232442209787,0.13461055850959802
"        Educational, guidance, and career counselors and advisors",21-1012,376.3,389.6,13.3,3.5,65140.0,Master's degree,31.0,0.0085,"Educational, guidance, school, and vocational counselors",Low,21,Community & Social Service,5.0,0.178069639584606,0.8333333333333333,0.5057014864589696,False,Growing,2.0,Low Risk / Stable,2.3079366764506326,-0.934337236035965
        Marriage and family therapists,21-1013,77.8,87.7,9.8,12.6,63780.0,Master's degree,7.7,0.014,Marriage and family therapists,Low,21,Community & Social Service,5.0,0.1711464060272856,0.8333333333333333,0.5022398696803094,False,Growing,2.0,Low Risk / Stable,2.269416083957989,-0.9504002708212107
